"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","41","","0"
"0","","0","Leave Management Feature","1","0","Validate non-integer leave day","0"
"0","","1","Employee Management","0","0","Create employee for login","0"
"0","","0","Leave Management Feature","1","0","Cancel leave request","0"
"0","","1","Leave Management Feature","0","0","Edit leave with New status","0"
"0","","0","Employee Management","1","0","Validate Employee Email length","0"
"0","","0","Leave Management Feature","1","0","Cancel failed without reason","0"
"0","","1","Login Feature","0","0","Valid Admin Login Story","0"
"0","","0","Leave Management Feature","1","0","Add leave with multiple departments","0"
"0","","0","Employee Management","1","0","Employee resigned status","0"
"0","","0","Leave Management Feature","1","0","Validate empty leave day","0"
"0","","0","Employee Management","1","0","Validate Employee ID length","0"
"0","","0","Employee Management","1","0","Create employee - Staff","0"
"0","","0","Leave Management Feature","1","0","Add leave by department","0"
"0","","0","Leave Management Feature","1","0","Add leave with New status","0"
"0","","0","Leave Management Feature","1","0","Add leave department with New status","0"
"0","","0","Leave Management Feature","1","0","Fail when no employee selected","0"
"0","","0","Employee Management","1","0","Validate Employee Name length","0"
"0","","0","Employee Management","1","0","Employee working status","0"
"0","","0","Leave Management Feature","1","0","Add leave with Pending status","0"
"0","","0","Leave Management Feature","1","0","Validate negative leave day","0"
"0","","0","Leave Management Feature","1","0","Fail when employee already exists","0"
"0","","0","Leave Management Feature","1","0","Add leave successfully","0"
"0","","1","Leave Management Feature","0","0","Leave request successfully created with valid information.","0"
"0","","0","Employee Management","1","0","Create basic employee","0"
"0","","0","Employee Management","1","0","Create employee - Manager","0"
"0","","0","Employee Management","1","0","Validate Employee Password length","0"
