"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Leave Management Feature","1","0","Filter by approved status","0"
"0","","1","Leave Management Feature","0","0","Submit operation with new status","0"
"0","","0","","1","28","","0"
"0","","0","Leave Management Feature","1","0","Validate negative leave day","0"
"0","","0","Leave Management Feature","1","0","Validate non-integer leave day","0"
"0","","0","Leave Management Feature","1","0","Application failed due to lack of annual leave.","0"
"0","","0","Leave Management Feature","1","0","Fail when employee already exists","0"
"0","","0","Login Feature","1","0","Empty Password Login Story","0"
"0","","0","Leave Management Feature","1","0","The application failed because there was a duplicate request.","0"
"0","","0","Leave Management Feature","1","0","Filter by New status","0"
"0","","0","Leave Management Feature","1","0","Add leave by department","0"
"0","","0","Login Feature","1","0","Empty Username Login Story","0"
"0","","0","Login Feature","1","0","Valid Admin Login Story","0"
"0","","1","Leave Management Feature","0","0","Filter by cancle status","0"
"0","","0","Leave Management Feature","1","0","Create order with new status","0"
"0","","1","Employee Management","0","0","Create employee - Staff","0"
"0","","0","Leave Management Feature","1","0","Filter annual leave by year input.","0"
"0","","0","Leave Management Feature","1","0","Order creation fails when the start date is greater than the end date.","0"
"0","","0","Login Feature","1","0","Invalid Password Login Story","0"
"0","","0","Leave Management Feature","1","0","Cancel failed without reason","0"
"0","","0","Leave Management Feature","1","0","Accept leave with New status","0"
"0","","0","Leave Management Feature","1","0","Validate empty leave day","0"
"0","","0","Leave Management Feature","1","0","Filter by Awaiting approval status","0"
"0","","0","Login Feature","1","0","Empty Login Story","0"
"0","","0","Leave Management Feature","1","0","Add leave successfully","0"
"0","","0","Leave Management Feature","1","0","Add leave with Pending status","0"
"0","","0","Leave Management Feature","1","0","Leave request successfully created with valid information.","0"
"0","","0","Leave Management Feature","1","0","Fail when no employee selected","0"
"0","","0","Leave Management Feature","1","0","Edit leave with New status","0"
"0","","0","Leave Management Feature","1","0","Successfully created a request for a different type of leave that does not require annual leave.","0"
"0","","0","Login Feature","1","0","Invalid Login Story","0"
"0","","0","Leave Management Feature","1","0","Add leave with multiple departments","0"
"0","","0","Leave Management Feature","1","0","Cancel leave request","0"
"0","","1","Login Feature","0","0","Locked Account Login Story","0"
"0","","0","Login Feature","1","0","Invalid Username Login Story","0"
"0","","0","Leave Management Feature","1","0","Search employee has data","0"
"0","","0","Leave Management Feature","1","0","Search employee no data","0"
"0","","0","Login Feature","1","0","Valid Employee Login Story","0"
"0","","0","Leave Management Feature","1","0","Add leave with New status","0"
"0","","0","Leave Management Feature","1","0","Add leave department with New status","0"
