"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that annual leave can be filtered by Approved status","13724","Sreach wwith approved status","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","36873","Submit operation with new status","Chromium","2026-01-14","failed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","0","Create staff employee without selecting department-Tạo nhân viên khi không chọn bộ phận","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that system validates and rejects negative values for leave days","12144","validate number < 0","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"Verify that system validates and rejects non-integer values for leave days","17774","Non-integer day validation","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","19467","Application failed due to lack of annual leave.","Chromium","2026-01-14","passed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"Verify that system prevents creating annual leave for employee who already has leave record for the same year","17918","Add leave fail with existing employee","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Create employee for login testing-Tạo nhân viên để test đăng nhập","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","0","Validate max length for employee email-Kiểm tra độ dài tối đa email","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","5507","Login Unsuccessful With Empty Password - Đăng nhập thất bại với mật khẩu rỗng","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"","18644","The application failed because there was a duplicate request.","Chromium","2026-01-14","passed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"Verify that annual leave can be filtered by New status","13743","Sreach wwith new status","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"Verify that annual leave can be created for an entire department","18786","Add leave with department","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","1","Create employee with Working status-Tạo nhân viên thành công với trạng thái Đang làm","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","0","Create employee with future birth date-Tạo nhân viên với ngày sinh trong tương lai","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","5519","Login Unsuccessful With Empty Username - Đăng nhập thất bại với tài khoản rỗng","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"","8300","Login Successful With Valid Credentials - Đăng nhập thành công với tài khoản admin","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"","1","Validate max length for employee name-Kiểm tra độ dài tối đa tên nhân viên","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that annual leave can be filtered by Cancelled/Rejected status","33291","Sreach wwith cancle status","Chromium","2026-01-14","failed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Create employee with duplicate CCCD-Kiểm tra CCCD trùng lặp","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","0","Create employee with duplicate phone number-Tạo nhân viên với SĐT trùng lặp","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","22759","Create order with new status","Chromium","2026-01-14","passed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","0","Create employee with Manager role-Tạo nhân viên thành công với chức vụ Quản lý","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","13202","Login sucsses","Chromium","2026-01-13","passed","2026-01-13","Login","login.spec.ts","",""
"","1","Create employee without selecting position-Tạo nhân viên khi không chọn chức vụ","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify staff employee can be created successfully with all required information and saved to database","25067","Create employee with Staff role successfully-Tạo nhân viên thành công với chức vụ nhân viên","Chromium","2026-01-14","failed","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that annual leave can be filtered by year using year input field","12746","Filter annual leave by year input.","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Create employee with Resigned status-Tạo nhân viên thành công với trạng thái Đã nghỉ","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","17398","Order creation fails when the start date is greater than the end date.","Chromium","2026-01-14","passed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","0","Create employee with password less than 6 characters-Kiểm tra mật khẩu ngắn hơn 6 ký tự","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","6232","Login Unsuccessful With Invalid Password - Đăng nhập thất bại với mật khẩu không chính xác","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"Verify that system prevents cancellation without providing a reason","14602","cancel failed when no input request","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"Verify that annual leave with New status can be accepted/confirmed","14652","setup with new status accept","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Create employee with CCCD less than 12 digits-Kiểm tra CCCD ít hơn 12 chữ số","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that system shows validation error when leave days field is empty","12154","No select day","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Delete infomation sreach","Chromium","2026-01-14","skipped","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"Verify that annual leave can be filtered by Awaiting approval status","13481","Sreach wwith Awaiting approval status","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Validate max length for employee ID-Kiểm tra độ dài tối đa mã nhân viên","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","5512","Login Unsuccessful With Empty Credentials - Đăng nhập thất bại với tài khoản và mật khẩu rỗng","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"Verify that annual leave can be created successfully with valid information","18613","Add leave","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","0","Create employee without selecting permission-Tạo nhân viên khi không chọn quyền","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that annual leave can be created with Pending status","18004","Add leave with status Pending","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","22869","Leave request successfully created with valid information","Chromium","2026-01-14","passed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","0","Create employee with special characters in bank account-Tạo nhân viên với số TK chứa ký tự đặc biệt","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","0","Create employee with invalid information format-Tạo nhân viên với thông tin không hợp lệ","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","0","Create employee with confrimpassword less than 6 characters-Kiểm tra confrim mật khẩu ngắn hơn 6 ký tự","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that system shows error when no employee is selected for annual leave creation","16280","Add leave when No select user","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","1","Create employee without employee code-Kiểm tra nhân viên không nhập mã","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"Verify that annual leave with New status can be edited successfully","15986","setup with new status","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","1","create annual leave for social insurance","Chromium","2026-01-14","skipped","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","0","Create employee with mismatched passwords-Tạo nhân viên khi mật khẩu không trùng khớp","Chromium","2026-01-14","skipped","2026-01-14","Employee Management Tests","employee.spec.ts","",""
"","21940","Successfully created a request for a different type of leave that does not require annual leave.","Chromium","2026-01-14","passed","2026-01-14","leave application","leave/leave.application.spec.ts","",""
"","6319","Login Unsuccessful With Invalid Credentials - Đăng nhập thất bại với tài khoản không tồn tại","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
"Verify that annual leave can be created for multiple departments","19270","Add leave with departments","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"Verify that annual leave request can be cancelled before approval","14615","Cancel leave request before staff approval.","Chromium","2026-01-14","passed","2026-01-14","Leave Management","leave/leave-management.spec.ts","",""
"","21929","Login with locked account - Đăng nhập thất bại với tài khoản bị khóa","Chromium","2026-01-14","failed","2026-01-14","Login Tests","login.spec.ts","",""
"","6215","Login Unsuccessful With Invalid Username - Đăng nhập thất bại với tài khoản không tồn tại","Chromium","2026-01-14","passed","2026-01-14","Login Tests","login.spec.ts","",""
